,projects_x,ProjectID,shorthand_x,YEAR_x,LOC,LONGITUDE,LATITUDE,LINE,ERM,MST,PHT,RTLP,STLP,TWT,YLD_BE,EHT,SET,CLUSTER,LINE_UNIQUE_ID,Unnamed: 0_x,projects_y,projectID,shorthand_y,Unnamed: 0_y,MAB_PROJECT_ID,YEAR_y,GERMPLASM_ID,GENERATION_NAME,HG,FILE_LIST,CROSS,GERMPLASM_ID_TESTER
16,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,182,103.521,19.9,87.0,,,56.0,138.017,35.0,0303300303Z0,1,C1.1.182,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
17,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,147,,20.2,,0.0,0.0,52.8,169.68,,0303300303Z0,1,C1.1.147,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
18,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,181,102.43,19.3,86.0,,,57.0,155.56,41.0,0303300303Z0,1,C1.1.181,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
19,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,161,104.6,22.7,,0.0,1.351,56.1,123.607,,0303300303Z0,1,C1.1.161,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
20,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,65,103.703,20.0,85.0,,,55.9,134.698,38.0,0303300303Z0,1,C1.1.65,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
21,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,110,,21.3,,0.0,0.0,53.2,177.545,,0303300303Z0,1,C1.1.110,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
22,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,138,,18.0,,100.0,,56.6,121.291,,0303300303Z0,1,C1.1.138,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
23,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,110,101.314,20.2,,79.73,0.0,56.1,128.083,,0303300303Z0,1,C1.1.110,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
24,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,109,102.177,20.7,,29.73,0.0,56.2,99.828,,0303300303Z0,1,C1.1.109,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
25,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,16,102.248,19.2,80.0,,,56.1,134.773,39.0,0303300303Z0,1,C1.1.16,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
26,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,55,103.521,19.9,80.0,,,56.7,171.419,37.0,0303300303Z0,1,C1.1.55,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
27,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,5,103.521,19.9,90.0,,,55.8,157.554,36.0,0303300303Z0,1,C1.1.5,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
28,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,107,,21.7,,0.0,0.0,53.6,167.844,,0303300303Z0,1,C1.1.107,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
29,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,108,98.725,18.7,,0.0,0.0,56.6,143.923,,0303300303Z0,1,C1.1.108,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
30,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,111,,20.9,,5.405,0.0,53.8,140.844,,0303300303Z0,1,C1.1.111,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
31,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,134,,22.2,,0.0,0.0,53.3,178.205,,0303300303Z0,1,C1.1.134,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
32,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,105,,21.6,,4.054,0.0,51.5,157.894,,0303300303Z0,1,C1.1.105,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
33,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,27,,16.6,,100.0,,55.5,,,0303300303Z0,1,C1.1.27,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
34,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,143,,19.6,,0.0,0.0,53.3,192.499,,0303300303Z0,1,C1.1.143,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
35,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,117,,,,0.0,0.0,,169.358,,0303300303Z0,1,C1.1.117,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
36,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,146,,20.5,,4.054,0.0,53.3,169.042,,0303300303Z0,1,C1.1.146,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
37,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,58,101.156,18.6,86.0,,,56.8,157.549,42.0,0303300303Z0,1,C1.1.58,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
38,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,63,102.794,19.5,82.0,,,56.6,133.006,42.0,0303300303Z0,1,C1.1.63,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
39,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,11,,18.8,,0.0,0.0,52.9,205.645,,0303300303Z0,1,C1.1.11,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
40,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,112,103.385,21.4,,70.27,0.0,55.7,111.933,,0303300303Z0,1,C1.1.112,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
41,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,198,,18.8,86.0,,,57.6,150.774,36.0,0303300303Z0,1,C1.1.198,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
42,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,132,,19.0,,0.0,0.0,51.1,170.132,,0303300303Z0,1,C1.1.132,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
43,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,114,,21.9,,1.351,0.0,52.5,187.668,,0303300303Z0,1,C1.1.114,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
44,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,98,102.932,20.7,,0.0,1.389,56.8,149.425,,0303300303Z0,1,C1.1.98,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
45,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,75,101.702,18.9,85.0,,,57.6,149.95,34.0,0303300303Z0,1,C1.1.75,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
46,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,183,103.158,19.7,80.0,,,55.4,123.199,36.0,0303300303Z0,1,C1.1.183,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
47,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,128,103.182,21.0,,0.0,0.0,56.8,132.471,,0303300303Z0,1,C1.1.128,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
48,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,43,104.249,20.3,87.0,,,57.2,127.922,45.0,0303300303Z0,1,C1.1.43,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
49,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,53,102.976,19.6,83.0,,,56.6,161.94,34.0,0303300303Z0,1,C1.1.53,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
50,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,111,102.867,21.1,,5.405,0.0,55.5,129.742,,0303300303Z0,1,C1.1.111,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
51,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,3,,19.4,,100.0,,56.9,110.976,,0303300303Z0,1,C1.1.3,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
52,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,57,102.349,20.8,,0.0,1.351,56.2,152.045,,0303300303Z0,1,C1.1.57,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
53,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,106,102.004,20.6,,100.0,1.351,55.2,,,0303300303Z0,1,C1.1.106,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
54,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,51,102.248,19.2,82.0,,,56.3,139.859,35.0,0303300303Z0,1,C1.1.51,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
55,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,81,,20.8,,4.054,0.0,53.5,182.096,,0303300303Z0,1,C1.1.81,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
56,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,159,,19.1,84.0,,,59.1,131.121,37.0,0303300303Z0,1,C1.1.159,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
57,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,82,104.42,22.0,,55.405,0.0,56.2,111.692,,0303300303Z0,1,C1.1.82,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
58,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,179,101.52,18.8,84.0,,,56.3,159.079,36.0,0303300303Z0,1,C1.1.179,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
59,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,189,103.885,20.1,91.0,,,56.2,159.047,43.0,0303300303Z0,1,C1.1.189,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
60,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,117,106.491,23.2,,59.459,0.0,54.6,134.144,,0303300303Z0,1,C1.1.117,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
61,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,60,102.976,19.6,84.0,,,55.7,132.841,39.0,0303300303Z0,1,C1.1.60,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
62,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,114,104.938,22.3,,64.865,4.054,56.9,147.943,,0303300303Z0,1,C1.1.114,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
63,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,50,102.43,19.3,85.0,,,56.6,147.305,42.0,0303300303Z0,1,C1.1.50,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
64,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,159,104.433,22.5,,0.0,1.37,57.2,130.626,,0303300303Z0,1,C1.1.159,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
65,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,32,,18.7,91.0,,,59.8,141.364,45.0,0303300303Z0,1,C1.1.32,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
66,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,84,105.267,23.5,,1.351,0.0,56.3,165.308,,0303300303Z0,1,C1.1.84,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
67,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,109,,19.0,,2.703,1.351,52.8,188.335,,0303300303Z0,1,C1.1.109,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
68,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,141,102.248,19.2,82.0,,,56.1,149.395,37.0,0303300303Z0,1,C1.1.141,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
69,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,197,,18.6,84.0,,,60.6,146.662,34.0,0303300303Z0,1,C1.1.197,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
70,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,142,104.067,20.2,85.0,,,56.8,169.521,37.0,0303300303Z0,1,C1.1.142,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
71,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,185,104.516,22.6,,0.0,1.471,57.2,135.141,,0303300303Z0,1,C1.1.185,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
72,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,16,,,,0.0,0.0,,,,0303300303Z0,1,C1.1.16,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
73,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,112,,19.4,,0.0,0.0,51.6,176.955,,0303300303Z0,1,C1.1.112,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
74,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,160,,17.8,,50.0,,56.1,128.054,,0303300303Z0,1,C1.1.160,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
75,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,145,,20.2,,0.0,0.0,53.2,151.747,,0303300303Z0,1,C1.1.145,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
76,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,90,105.35,23.6,,0.0,0.0,57.5,150.564,,0303300303Z0,1,C1.1.90,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
77,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,92,104.183,22.2,,0.0,0.0,56.0,127.097,,0303300303Z0,1,C1.1.92,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
78,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,187,,18.7,89.0,,,58.3,138.806,43.0,0303300303Z0,1,C1.1.187,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
79,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,8,,19.8,,4.054,0.0,51.0,164.292,,0303300303Z0,1,C1.1.8,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
80,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,35,,20.4,86.0,,,58.8,152.813,33.0,0303300303Z0,1,C1.1.35,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
81,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,193,,18.7,,29.73,,57.0,134.968,,0303300303Z0,1,C1.1.193,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
82,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,158,,20.2,87.0,,,59.2,138.756,40.0,0303300303Z0,1,C1.1.158,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
83,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,161,,20.4,93.0,,,58.8,150.308,43.0,0303300303Z0,1,C1.1.161,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
84,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,57,103.521,19.9,84.0,,,55.3,144.32,43.0,0303300303Z0,1,C1.1.57,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
85,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,86,103.557,21.5,,14.865,0.0,56.6,144.525,,0303300303Z0,1,C1.1.86,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
86,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,192,,17.0,,100.0,,56.0,91.425,,0303300303Z0,1,C1.1.192,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
87,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,80,103.158,19.7,80.0,,,57.2,148.471,38.0,0303300303Z0,1,C1.1.80,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
