YEAR,LOC,X04_PRCP,X05_PRCP,X06_PRCP,X07_PRCP,X08_PRCP,X09_PRCP,X10_PRCP,X04_TAVG,X05_TAVG,X06_TAVG,X07_TAVG,X08_TAVG,X09_TAVG,X10_TAVG,X04_DP01,X05_DP01,X06_DP01,X07_DP01,X08_DP01,X09_DP01,X10_DP01,X04_DP10,X05_DP10,X06_DP10,X07_DP10,X08_DP10,X09_DP10,X10_DP10,X04_HTDD,X05_HTDD,X06_HTDD,X07_HTDD,X08_HTDD,X09_HTDD,X10_HTDD,X04_CLDD,X05_CLDD,X06_CLDD,X07_CLDD,X08_CLDD,X09_CLDD,X10_CLDD,cfvo_0_5cm,cfvo_5_15cm,cfvo_15_30cm,cfvo_30_60cm,cfvo_60_100cm,cfvo_100_200cm,clay_0_5cm,clay_5_15cm,clay_15_30cm,clay_30_60cm,clay_60_100cm,clay_100_200cm,silt_0_5cm,silt_5_15cm,silt_15_30cm,silt_30_60cm,silt_60_100cm,silt_100_200cm,nitrogen_0_5cm,nitrogen_5_15cm,nitrogen_15_30cm,nitrogen_30_60cm,nitrogen_60_100cm,nitrogen_100_200cm,sand_0_5cm,sand_5_15cm,sand_15_30cm,sand_30_60cm,sand_60_100cm,sand_100_200cm,phh2o_0_5cm,phh2o_5_15cm,phh2o_15_30cm,phh2o_30_60cm,phh2o_60_100cm,phh2o_100_200cm,soc_0_5cm,soc_5_15cm,soc_15_30cm,soc_30_60cm,soc_60_100cm,soc_100_200cm
2005,WIPO,19.5,85,107.0411765,112.3,78.1,73.11764706,56.11764706,10.11,12.59,20.06352941,22.19,20.91,18.41,9.772352941,5,11,12.29411765,5,5,7.647058824,5,4,10,8.705882353,5,5,5.294117647,3,247.8,177.9,24.37647059,7.8,7.2,50.3,259.3,1.1,1.4,76.45882353,127.4,87,51.6,13.1,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2006,WIPO,92.28823529,109.6,135.7823529,103.6,75.00588235,136.6,54.06470588,10.09,14.14,19.09,22.9,20.41,14.1,9.888235294,10.41176471,13,13.17647059,5,8.470588235,8,8,6.941176471,13,8.764705882,5,5,8,7,247.2,156.2,23.7,2.5,3.3,134.5,274.1117647,0,26.1,46.6,144.3,67.8,7.6,1.4,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2007,WIPO,85,31.5,97.86470588,73.3,287.8,61.72941176,64.20588235,6.58,15.77,19.73,21,20.58,17.47352941,10.36529412,8,4,10.94117647,6,13,5,8.411764706,8,4,6.470588235,6,12,4,5.941176471,354.9,101.4,24.4,11.1,11.7,83.6,276.4705882,2.2,22,66.2,93.8,81.5,32.9,6.435294118,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2008,WIPO,184.3,80.2,347.1,123.5,42.2,87.68823529,73.88823529,6.99,11.59,18.63,20.88,19.35,17.20058824,10.83705882,11,6,11,7,8,9,7.294117647,10,6,11,7,5,7,5.411764706,340.2,209,22.2,6.1,15,73.95882353,261.1764706,0,0,31.1,85.1,46.5,17.8,5.752941176,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2008,WIBO,177.9,71.3,243.2,112.2,47.3,83.28235294,76.06470588,8.4,12.36,20.09,22.01,20.9,17.64529412,10.44529412,12,8,10,7,10,9,6.882352941,9,7,8,4,5,5,5.117647059,298.1,185.2,8.3,1.1,1.4,65.58235294,266.5117647,0,0,61.1,115.1,80.9,35.3,6.635294118,9,9,9,15,34,85,323,332,354,380,341,262,576,568,552,522,485,423,1344,705,486,416,288,296,102,100,94,97,175,315,64,63,63,62,63,69,440,361,194,249,222,180
2008,MIMK,69.13529412,21.9,128.9,92.5,51.5,207.9,60.9,8.113529412,14.02470588,20.15176471,22.76882353,21.68705882,18.84352941,11.72,7.470588235,8,16,9,7,8,13,5.235294118,3,8,5,5,7,6,296.5117647,150.3764706,23.85294118,3.905882353,5.782352941,43.27647059,223.7411765,2.664705882,20.35294118,77.75294118,139.7352941,107.2294118,45.84117647,8.729411765,42,43,45,48,57,56,234,238,243,250,230,207,344,340,331,337,355,357,1060,383,372,427,329,287,421,422,426,413,415,435,63,64,64,66,70,71,415,254,242,174,135,75
2000,IAPG,70.95294118,123.3882353,98.96470588,92.13529412,86.31764706,72.45294118,67.9,10.00941176,14.83117647,20.72529412,23.40235294,22.04176471,16.91,11.66470588,8,11.82352941,9.411764706,7.294117647,6.764705882,5.647058824,7.411764706,5.647058824,8.588235294,7.176470588,5.352941176,4.823529412,4.176470588,4.647058824,248.2705882,125.3941176,20.10588235,2.147058824,6.5,77.15882353,208.7294118,6.858823529,19.81764706,89.69411765,155.0411765,118.3764706,49.42352941,3.2,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2002,IAPG,74.49411765,111.0294118,97.47647059,89.35294118,86.31764706,69.61764706,70.43529412,10.06352941,14.92941176,20.76588235,23.19705882,21.94764706,16.91,11.66470588,8.176470588,11.23529412,9.058823529,7.470588235,6.764705882,5.705882353,7.470588235,6,8.235294118,7.117647059,5.352941176,4.823529412,4.294117647,4.647058824,245.8941176,123.1941176,18.74705882,2.164705882,6.617647059,77.15882353,208.7294118,6.458823529,21.32941176,88.48823529,149.1705882,114.7235294,52.42352941,3.2,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2000,NEPL,64.49411765,87.99411765,71.54705882,60.54705882,45.57647059,65.83529412,93.78823529,11.48411765,16.73117647,21.37176471,24.65882353,23.55411765,20.37647059,10.28941176,7.647058824,9.176470588,8.529411765,7.058823529,6.235294118,6.058823529,7.117647059,4.941176471,6.058823529,5.058823529,4.941176471,3.529411765,4.411764706,5.294117647,207.5705882,86.94117647,16.45294118,1.629411765,3.517647059,31.65882353,221.8176471,7.923529412,37.54705882,106.6588235,194.9,162.1058824,61.9,18.9,4,4,4,4,7,7,344,343,374,390,374,333,511,514,492,479,487,531,262,188,138,98,62,47,144,143,134,131,139,136,58,58,61,68,74,76,303,204,141,76,37,16
2001,NEPL,69.42941176,96.32352941,68.1,66.29411765,60.20588235,65.83529412,93.78823529,11.48411765,16.73117647,21.37176471,24.65882353,23.55411765,20.37647059,10.28941176,7.235294118,8.941176471,7.470588235,7.529411765,6.882352941,5.764705882,7.117647059,4.882352941,5.882352941,4.411764706,5.176470588,4.058823529,4.235294118,5.294117647,207.5705882,86.94117647,16.45294118,1.629411765,3.517647059,31.84117647,221.8176471,7.923529412,37.54705882,106.6588235,194.9,162.1058824,61.9,18.9,4,4,4,4,7,7,344,343,374,390,374,333,511,514,492,479,487,531,262,188,138,98,62,47,144,143,134,131,139,136,58,58,61,68,74,76,303,204,141,76,37,16
2004,GASM,37.9,63,211.3,88.5,96.2,98.90588235,63.43529412,17.85,24.17,26.26,27.64,26.48,20.91117647,12.50647059,4,5,20,10,6,13,7.529411765,4,3,16,7,6,10,4.764705882,46.9,4.2,0,0,0,28.6,158.8647059,27.7,185.2,230.2,288.6,221.3,162,30.50588235,21,22,25,26,21,22,110,122,225,268,294,304,116,116,108,104,98,81,397,71,48,28,21,36,774,762,668,628,608,615,56,56,55,55,54,52,412,94,58,32,15,9
2005,GASM,166.6,65.5,241.2,206,160.2,111.3,65.75882353,16.54,21.5,25.67,28.43,27.93,21.74588235,11.88117647,6,5,13,9,15,6,6.705882353,5,4,11,5,12,6,4.764705882,61.8,8.9,0,0,0,19.18235294,182.9941176,9.8,107.1,212.8,282.8,297.6,237.7,30.66470588,21,22,25,26,21,22,110,122,225,268,294,304,116,116,108,104,98,81,397,71,48,28,21,36,774,762,668,628,608,615,56,56,55,55,54,52,412,94,58,32,15,9
2000,ILBR,69.35882353,116.9529412,73.61176471,75.52352941,105.9764706,77.49411765,83.30588235,11.06470588,16.57823529,21.93705882,23.43882353,22.68647059,18.42117647,11.66470588,9,12.58823529,8.764705882,8.588235294,8.941176471,6.588235294,7.882352941,5.764705882,8.058823529,5.294117647,5.882352941,6.058823529,4.764705882,5.529411765,216.8294118,88.46470588,12.03529412,1.164705882,3.482352941,61.54117647,208.7294118,6.641176471,36.14705882,117.0176471,157.1235294,136.8235294,56.20588235,8.411764706,6,6,6,6,10,12,378,370,374,411,412,371,574,588,585,549,548,569,524,213,149,107,62,38,48,43,42,40,40,61,63,63,63,63,63,68,339,204,137,93,37,18
